"ID","MB","MGE","IOA","Var","Type","LON","LAT","IOA_cut"
"PE109077",0.16,0.96,0.62,"Tmin","Available data",-76.7736111111111,-9.71694444444444,".6 - .7"
"PE109077",0.11,1.36,0.62,"Tmax","Available data",-76.7736111111111,-9.71694444444444,".6 - .7"
"PE110008",0.09,0.59,0.65,"Tmin","Available data",-74.8668055555555,-10.9335277777778,".6 - .7"
"PE110020",0.07,1.05,0.52,"Tmin","Available data",-76.7687027777778,-10.6676916666667,".5 - .6"
"PE110020",0,1.31,0.6,"Tmax","Available data",-76.7687027777778,-10.6676916666667,".6 - .7"
"PE110021",-0.16,1.27,0.58,"Tmax","Available data",-76.7370111111111,-10.9216166666667,".5 - .6"
"PE110021",0.02,0.76,0.71,"Tmin","Available data",-76.7370111111111,-10.9216166666667,".7 - .8"
"PE110025",0.11,1.57,0.5,"Tmin","Available data",-76.1765833333333,-10.32925,".5 - .6"
"PE110025",0.25,1.36,0.59,"Tmax","Available data",-76.1765833333333,-10.32925,".5 - .6"
"PE110027",0.24,0.89,0.57,"Tmin","Available data",-75.5502777777778,-10.0502777777778,".5 - .6"
"PE110027",0.2,1.22,0.61,"Tmax","Available data",-75.5502777777778,-10.0502777777778,".6 - .7"
"PE111004",-0.06,0.81,0.68,"Tmin","Available data",-77.5501055555556,-11.0606805555556,".6 - .7"
"PE111004",-0.35,1.22,0.58,"Tmax","10-years data",-77.5501055555556,-11.0606805555556,".5 - .6"
"PE111004",-0.06,0.92,0.68,"Tmax","Available data",-77.5501055555556,-11.0606805555556,".6 - .7"
"PE111004",-0.16,1.04,0.59,"Tmin","10-years data",-77.5501055555556,-11.0606805555556,".5 - .6"
"PE111005",0.09,1.06,0.68,"Tmax","Available data",-75.4868888888889,-11.7866388888889,".6 - .7"
"PE111005",-0.03,1.19,0.67,"Tmin","Available data",-75.4868888888889,-11.7866388888889,".6 - .7"
"PE111018",-0.08,0.65,0.66,"Tmin","Available data",-77.3683916666667,-11.3601416666667,".6 - .7"
"PE111018",0.06,1.38,0.61,"Tmax","Available data",-77.3683916666667,-11.3601416666667,".6 - .7"
"PE111020",0.13,1.27,0.58,"Tmin","Available data",-77.38361,-11.21694,".5 - .6"
"PE111020",0.1,1.5,0.54,"Tmax","Available data",-77.38361,-11.21694,".5 - .6"
"PE111022",-0.3,0.99,0.57,"Tmin","10-years data",-77.1220055555555,-11.4528083333333,".5 - .6"
"PE111022",-0.02,1.33,0.62,"Tmax","Available data",-77.1220055555555,-11.4528083333333,".6 - .7"
"PE111022",-0.26,1.55,0.56,"Tmax","10-years data",-77.1220055555555,-11.4528083333333,".5 - .6"
"PE111022",0,0.8,0.63,"Tmin","Available data",-77.1220055555555,-11.4528083333333,".6 - .7"
"PE111025",-0.11,0.75,0.72,"Tmax","Available data",-77.23567,-11.521,".7 - .8"
"PE111025",-0.09,0.67,0.7,"Tmin","Available data",-77.23567,-11.521,".7 - .8"
"PE111026",0.23,0.79,0.67,"Tmax","Available data",-76.6256944444444,-11.4712138888889,".6 - .7"
"PE111027",0.01,1.03,0.62,"Tmax","Available data",-76.3780277777778,-11.8391277777778,".6 - .7"
"PE111027",0,1.03,0.51,"Tmin","Available data",-76.3780277777778,-11.8391277777778,".5 - .6"
"PE111028",0.06,0.73,0.72,"Tmin","Available data",-76.3248638888889,-11.4043972222222,".7 - .8"
"PE111028",-0.04,0.73,0.74,"Tmax","Available data",-76.3248638888889,-11.4043972222222,".7 - .8"
"PE111029",-0.01,1.19,0.61,"Tmax","Available data",-75.6902777777778,-11.3969444444444,".6 - .7"
"PE111029",-0.02,1.22,0.52,"Tmin","Available data",-75.6902777777778,-11.3969444444444,".5 - .6"
"PE111039",0.02,0.81,0.59,"Tmin","Available data",-74.2502777777778,-11.1336111111111,".5 - .6"
"PE111046",0.06,0.91,0.7,"Tmax","Available data",-75.9576111111111,-11.5717777777778,".7 - .8"
"PE111046",0.14,1.42,0.63,"Tmin","Available data",-75.9576111111111,-11.5717777777778,".6 - .7"
"PE111047",-0.03,0.69,0.67,"Tmin","Available data",-77.0103722222222,-11.7992111111111,".6 - .7"
"PE111047",-0.12,1.2,0.65,"Tmax","Available data",-77.0103722222222,-11.7992111111111,".6 - .7"
"PE111097",0.14,0.83,0.74,"Tmin","Available data",-75.2966388888889,-11.8752222222222,".7 - .8"
"PE111097",0.2,0.79,0.75,"Tmax","Available data",-75.2966388888889,-11.8752222222222,".7 - .8"
